1,22201
2,25727
3,19579
4,19903
5,24552
6,28402
7,20420
8,27470
9,23766
10,20842
11,25844
12,23943
13,23842
14,25893
15,24416
16,24690
17,26716
18,26842
19,18244
20,21718
21,21919
22,17495
23,18618
24,25939
25,24893
26,26093
27,23168
28,20513
29,20891
30,25117
31,26643
32,23968
33,23378
34,29618
35,23690
36,20293
37,25091
38,22092
39,27268
40,19158
41,27467
42,25767
43,26293
44,25191
45,26318
47,21142
48,26941
49,26815
50,24090
51,27374
52,23118
53,24616
54,24791
55,24417
57,23842
58,26490
59,24541
60,19705
61,22366
62,23439
63,21692
64,19166
65,24365
66,23167
67,21116
68,25290
69,23866
70,21616
71,21465
72,24815
73,22140
74,23665
75,24491
76,24966
77,22290
78,22591
80,24291
81,23293
82,23390
83,22616
84,22290
85,26914
86,22040
87,24041
88,20292
89,26390
90,20766
91,24017
92,24588
93,20792
94,25465
95,16290
96,25440
97,21941
98,24191
99,17153
100,10026
101,10332
102,13534
103,10503
104,11332
105,12701
106,10947
107,11203
108,10023
114,10360
115,10043
116,10002
117,11366
118,10052
119,10870
120,10776
122,12701
123,10178
124,10504
125,11891
126,10791
127,14301
128,22553
129,25603
130,22829
131,25303
132,24028
133,24927
134,13077
135,19455
136,26680
137,25379
138,23053
139,28154
140,22179
141,25802
142,24904
143,21603
144,19230
145,26103
146,23879
147,20104
148,12228
149,25054
150,21678
151,17053
152,21754
153,24152
154,21503
155,24225
156,23451
157,17552
158,20602
159,22452
160,26877
161,20827
162,21026
163,16678
164,25402
165,22327
166,23400
