35,2401,23690,33276
36,2401,20293,33276
37,2401,25091,33276
38,2401,22092,33276
39,2401,27268,33276
40,2401,19158,33276
41,2401,27467,33276
42,2401,25767,33276
43,2401,26293,33276
44,2401,25191,33276
45,2401,26318,33276
46,2401,20017,33276
47,2401,21142,33276
48,2401,26941,33276
49,2401,26815,33276
50,2401,24090,33276
51,2401,27374,33276
52,2401,23118,33276
53,2401,24616,33276
54,2401,24791,33276
55,2401,24417,33276
56,2401,22515,33276
57,2401,23842,33276
58,2401,26490,33276
59,2401,24541,33276
60,2401,19705,33276
61,2401,22366,33276
62,2401,23439,33276
63,2401,21692,33276
64,2401,19166,33276
65,2401,24365,33276
